year,university,school,degree,employment_rate_overall,employment_rate_ft_perm,basic_monthly_mean,basic_monthly_median,gross_monthly_mean,gross_monthly_median,gross_mthly_25_percentile,gross_mthly_75_percentile
2021,National University of Singapore,Faculty of Dentistry,Bachelor of Dental Surgery,100.0,100.0,4256.0,4200.0,4286.0,4200.0,4200.0,4600.0
2021,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Biomedical Engineering),94.4,83.3,3610.0,3500.0,3732.0,3600.0,3300.0,4000.0
2021,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Chemical Engineering),91.4,84.8,3793.0,3700.0,4023.0,3800.0,3600.0,4300.0
2021,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Civil Engineering),97.3,97.3,3780.0,3700.0,3897.0,3700.0,3500.0,4100.0
2021,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Electrical Engineering),95.1,93.0,4251.0,4000.0,4377.0,4150.0,3900.0,4550.0
2021,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Engineering Science),89.5,68.4,4189.0,4500.0,4399.0,4500.0,4000.0,4900.0
2021,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Environmental Engineering),97.1,88.6,3572.0,3500.0,3607.0,3500.0,3300.0,3900.0
2021,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Industrial and Systems Engineering),96.7,91.8,4237.0,4150.0,4417.0,4500.0,4000.0,4900.0
2021,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Materials Science and Engineering),91.7,87.5,3899.0,3775.0,4020.0,3896.0,3600.0,4200.0
2021,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Mechanical Engineering),94.5,89.5,3965.0,3800.0,4115.0,3875.0,3500.0,4550.0
2021,National University of Singapore,Faculty of Law,Bachelor of Laws,96.5,93.5,5398.0,5150.0,5627.0,5600.0,4500.0,6000.0
2021,National University of Singapore,Faculty of Science,Bachelor of Science,82.4,56.9,3446.0,3300.0,3627.0,3527.0,3100.0,4000.0
2021,National University of Singapore,Faculty of Science,Bachelor of Science (Hons),92.2,76.5,3665.0,3500.0,3767.0,3600.0,3400.0,4000.0
2021,National University of Singapore,Faculty of Science,Bachelor of Science (Pharmacy),95.9,91.9,3773.0,3760.0,3923.0,3915.0,3636.0,4200.0
2021,National University of Singapore,Faculty of Science,Bachelor of Science (Data Science and Analytics),97.7,95.3,4819.0,4500.0,4981.0,4800.0,4200.0,5400.0
2021,National University of Singapore,NUS Business School,Bachelor of Business Administration,94.7,81.6,5199.0,3550.0,5567.0,3700.0,3125.0,7625.0
2021,National University of Singapore,NUS Business School,Bachelor of Business Administration (Hons),98.1,93.5,4828.0,4200.0,4950.0,4347.0,3700.0,5200.0
2021,National University of Singapore,NUS Business School,Bachelor of Business Administration (Accountancy) (Hons),97.0,96.3,4124.0,3430.0,4194.0,3500.0,3200.0,4600.0
2021,National University of Singapore,School of Computing,Bachelor of Computing (Computer Science),99.1,96.4,5898.0,5800.0,6002.0,6000.0,5000.0,6900.0
2021,National University of Singapore,School of Computing,Bachelor of Computing (Information Systems),97.5,96.2,5087.0,5000.0,5217.0,5000.0,4500.0,5400.0
2021,National University of Singapore,School of Computing,Bachelor of Science (Business Analytics),100.0,100.0,5437.0,5050.0,5603.0,5400.0,4800.0,6125.0
2021,National University of Singapore,School of Design & Environment,Bachelor of Arts (Architecture),97.7,96.6,4090.0,4000.0,4139.0,4000.0,3600.0,4440.0
2021,National University of Singapore,School of Design & Environment,Bachelor of Arts (Industrial Design),87.5,75.0,4146.0,3825.0,4178.0,3825.0,3200.0,4250.0
2021,National University of Singapore,School of Design & Environment,Bachelor of Science (Project and Facilities Management),93.1,92.1,3424.0,3450.0,3560.0,3500.0,3200.0,3700.0
2021,National University of Singapore,School of Design & Environment,Bachelor of Science (Real Estate),94.5,82.4,3692.0,3575.0,3863.0,3700.0,3400.0,4000.0
2021,National University of Singapore,YLL School of Medicine,Bachelor of Science (Nursing),96.2,93.3,3300.0,3350.0,3530.0,3550.0,3350.0,3750.0
2021,National University of Singapore,YLL School of Medicine,Bachelor of Science (Nursing) (Hons),97.9,96.8,3482.0,3500.0,3750.0,3750.0,3550.0,3950.0
2021,National University of Singapore,Yale-NUS College,Bachelor of Arts with Honours,88.3,70.8,4344.0,4000.0,4453.0,4000.0,3500.0,5000.0
2021,National University of Singapore,Yale-NUS College,Bachelor of Science with Honours,94.6,83.8,4779.0,4500.0,4952.0,4500.0,3800.0,5650.0
2021,National University of Singapore,Multi-Disciplinary Programmes,Bachelor of Engineering (Computer Engineering),97.4,91.2,5345.0,5000.0,5473.0,5400.0,4500.0,6200.0
2021,National University of Singapore,Multi-Disciplinary Programmes,Bachelor of Environmental Studies,97.4,81.6,3544.0,3500.0,3658.0,3650.0,3100.0,3996.0
2021,Singapore Institute of Technology,SIT-DigiPen Institute of Technology,Bachelor of Fine Arts in Digital Arts and Animation,80.0,63.3,3081.0,3200.0,3125.0,3200.0,2835.0,3500.0
